,,DESCENDENCIA EJEMPLAR,,,,,,,
,REGISTRO:,193844,,,,,,,
,NOMBRE:,ONIX (FC),,,,,,,
REGISTRO,NOMBRE,FECHA_NTO,COLOR,SEXO,MICROCHIP,GENO,ANDAR,PADRE/MADRE,
REGISTRO0,NOMBRE,FECHA_NTO,COLOR,SEXO,MICROCHIP,GENO,ANDAR,PADRE/MADRE0
632460,A.P OLIMPIA DE LA CHIQUITA,18/05/2015,CASTAÑO,HEMBRA,AVID*040*861*056,GD,P3,2167750
632620,VANIDOSA DE LA TRADICION,29/09/2014,CASTAÑO,HEMBRA,AVID*845*043*267,GD,P3,2917190
632630,DESQUITE DE LA ESMERALDA,20/09/2017,CASTAÑO,MACHO,AVID*845*030*090,GD,P3,2771630
632690,DOBLE SILUETA DE 2 M.,08/04/2015,CASTAÑO,HEMBRA,AVID*845*042*854,GD,P2,2914530
632940,CREONTE DE QUISQUELLA T.E,14/05/2017,CASTAÑO,MACHO,AVID*845*032*078,GD,P3,612070
633270,INSOLITO DE SANTA ELVIRA,11/11/2017,ALAZAN,MACHO,AVID*845*027*598,GD,P3,620880
633290,TEQUILA DE ARIZONA,04/05/2014,CASTAÑO,HEMBRA,AVID*845*023*828,GD,P3,2762760
633500,IMPERIO DE LA CONQUISTA,21/12/2013,CASTAÑO,MACHO,AVID*841*795*575,GD,P3,1924150
633600,DIAMANTE,03/02/2018,CASTAÑO,MACHO,AVID*601*297*575,GD,P3,2014960
633750,ACUARELA DEL ALTISIMO,24/02/2017,CASTAÑO,HEMBRA,AVID*845*037*329,GD,P3,2273590
633790,AMALIN MARIA DEL CERRITO,27/01/2017,CASTAÑO,HEMBRA,AVID*601*551*881,GD,P3,2345630
633980,DE BUENA DE LAS MARIAS,23/06/2014,CASTAÑO,HEMBRA,AVID*601*539*122,GD,P1,826880
635310,POLONESA DE CALATRAVA,10/01/2018,CASTAÑO,HEMBRA,AVID*601*376*854,GD,P3,2654200
635330,ESMERALDA DEL TESORO,30/04/2016,CASTAÑO,HEMBRA,AVID*010*038*375,GD,P3,2902240
635410,BOHEMIO DE LA CHIMBITA,20/09/2016,CASTAÑO,MACHO,978101081924077,GA,P3,625620
